time_s,speed_mps,accel_mps2,steering_deg,yaw_rate_dps,front_distance_m,battery_v,motor_temp_c,status
8.0,8.698,-0.559,7.19,0.858,10.548,12.457,28.895,OK
8.1,9.246,-0.702,6.801,0.774,10.056,12.475,28.197,OK
8.2,8.737,-0.468,6.967,0.795,9.897,12.487,28.542,OK
8.3,9.218,-0.604,7.442,0.976,10.026,12.455,28.614,OK
8.4,8.626,-0.615,7.915,0.873,10.144,12.5,28.397,OK
8.5,9.041,-0.655,7.062,1.212,10.024,12.493,28.682,OK
8.6,8.123,-0.632,7.173,0.66,9.573,12.473,28.646,OK
8.7,8.576,-0.672,6.921,0.682,9.751,12.454,28.526,OK
8.8,8.408,-0.724,7.253,0.756,9.796,12.476,28.585,OK
8.9,8.466,-0.789,7.081,0.891,9.861,12.443,28.586,OK
9.0,8.584,-0.674,7.208,0.933,9.718,12.475,28.579,OK
9.1,8.254,-0.725,7.079,1.037,9.566,12.461,28.502,OK
9.2,8.347,-0.733,7.757,0.79,9.333,12.465,28.605,OK
9.3,8.158,-0.581,6.748,0.876,9.302,12.479,28.691,OK
9.4,8.151,-0.652,6.4,0.719,9.525,12.459,28.629,OK
9.5,7.61,-0.652,6.376,0.603,9.335,12.43,28.73,OK
9.6,8.096,-0.67,6.072,0.587,9.278,12.42,28.67,OK
9.7,7.983,-0.689,6.325,0.786,9.322,12.471,28.665,OK
9.8,7.578,-0.698,6.698,1.037,9.133,12.437,28.554,OK
9.9,7.16,-0.632,5.515,0.477,8.749,12.435,28.793,OK
10.0,7.291,-0.794,6.487,0.727,9.178,12.461,28.732,OK
10.1,7.229,-0.66,6.603,0.705,8.754,12.465,28.698,OK
10.2,7.387,-0.643,6.861,0.863,8.925,12.457,29.111,OK
10.3,7.772,-0.585,5.239,1.191,8.705,12.44,28.715,OK
10.4,7.768,-0.598,4.907,0.629,9.008,12.439,28.67,OK
10.5,7.117,-0.659,5.801,0.618,9.001,12.428,28.628,OK
10.6,7.052,-0.508,5.259,0.982,8.91,12.424,28.799,OK
10.7,7.236,-0.702,7.196,0.715,8.907,12.461,28.946,OK
10.8,6.866,-0.62,5.657,0.81,8.743,12.417,29.008,OK
10.9,6.887,-0.762,4.783,0.359,8.811,12.466,29.322,OK
11.0,6.854,-0.614,5.618,0.833,8.574,12.433,29.417,OK
11.1,6.913,-0.604,5.083,0.697,8.42,12.43,28.955,OK
11.2,6.815,-0.403,5.378,0.631,8.406,12.427,29.333,OK
11.3,6.689,-0.425,3.755,0.407,8.911,12.4,29.4,OK
11.4,6.313,-0.535,4.451,0.658,7.903,12.4,29.185,OK
11.5,6.733,-0.585,4.27,0.334,8.427,12.415,29.355,OK
11.6,6.819,-0.384,3.816,0.41,8.493,12.422,29.361,OK
11.7,6.234,-0.454,3.483,0.274,8.143,12.442,29.398,OK
11.8,6.864,-0.447,2.778,0.171,8.592,12.412,29.307,OK
11.9,6.486,-0.466,3.107,0.324,8.326,12.383,29.599,OK
12.0,6.284,-0.331,2.853,0.105,8.642,12.396,29.481,OK
12.1,6.593,-0.445,2.34,0.309,8.351,12.438,29.718,OK
12.2,7.162,-0.533,3.323,0.239,8.608,12.429,29.797,OK
12.3,6.169,-0.443,1.755,0.467,8.467,12.412,29.879,OK
12.4,6.514,-0.287,1.876,0.118,8.396,12.419,29.937,OK
12.5,6.038,-0.336,4.39,0.631,8.523,12.412,29.964,OK
12.6,6.708,-0.318,3.537,0.293,8.462,12.425,29.791,OK
12.7,6.5,-0.361,1.948,0.234,8.727,12.414,30.099,OK
12.8,6.012,-0.281,1.519,0.097,8.505,12.407,30.231,OK
12.9,6.117,-0.283,3.065,0.271,8.034,12.426,30.13,OK
13.0,5.601,-0.243,1.718,0.468,8.194,12.396,29.986,OK
13.1,5.855,-0.282,0.822,-0.056,8.022,12.381,29.942,OK
13.2,5.967,-0.26,0.796,0.167,8.339,12.396,30.16,OK
13.3,6.476,-0.164,1.812,-0.17,8.224,12.368,30.218,OK
13.4,6.153,-0.216,1.668,0.047,8.478,12.376,30.295,OK
13.5,6.15,-0.098,1.04,0.416,8.29,12.391,29.971,OK
13.6,6.474,-0.148,0.129,0.214,8.631,12.398,30.22,OK
13.7,6.126,-0.147,-0.044,0.151,7.97,12.403,30.553,OK
13.8,6.525,-0.049,-0.842,-0.226,8.423,12.398,30.68,OK
13.9,5.516,-0.079,1.1,0.364,8.798,12.386,30.744,OK
14.0,6.43,0.065,0.75,0.214,8.285,12.368,30.773,OK
14.1,5.913,-0.011,-0.339,-0.1,8.507,12.373,30.68,OK
14.2,6.062,0.008,-0.632,0.042,8.854,12.378,30.898,OK
14.3,6.225,-0.176,-0.822,-0.194,8.656,12.388,30.826,OK
14.4,6.167,-0.014,-0.99,-0.302,8.486,12.382,30.821,OK
14.5,5.833,0.153,-0.002,0.232,8.685,12.385,30.934,OK
14.6,6.176,0.05,0.081,0.268,8.961,12.382,30.919,OK
14.7,6.139,0.124,-0.564,-0.086,8.55,12.406,30.93,OK
14.8,6.065,0.217,-1.069,-0.085,8.601,12.36,30.934,OK
14.9,5.78,0.185,-2.177,-0.124,8.789,12.381,30.956,OK
15.0,6.186,0.032,-2.292,-0.297,8.734,12.374,30.85,OK
15.1,6.135,0.174,-2.447,-0.244,8.649,12.391,31.128,OK
15.2,6.308,0.257,-2.464,-0.436,8.424,12.415,30.892,OK
15.3,6.096,0.223,-2.241,-0.357,8.371,12.356,30.87,OK
15.4,6.143,0.218,-2.697,-0.291,8.656,12.383,31.043,OK
15.5,6.259,0.187,-1.926,-0.292,8.882,12.372,31.095,OK
15.6,6.287,0.282,-1.613,-0.053,8.925,12.348,30.974,OK
15.7,6.099,0.312,-2.409,-0.424,9.092,12.365,30.853,OK
15.8,6.181,0.144,-3.416,-0.492,8.762,12.358,31.11,OK
15.9,6.187,0.49,-2.204,-0.436,9.163,12.337,31.059,OK
16.0,6.755,0.209,-2.816,-0.526,8.911,12.357,31.446,OK
16.1,6.21,0.4,-2.941,-0.391,8.803,12.358,31.214,OK
16.2,6.675,0.348,-3.855,-0.414,8.961,12.354,31.203,OK
16.3,6.324,0.376,-3.39,-0.571,9.255,12.359,31.019,OK
16.4,6.613,0.47,-3.322,-0.225,8.975,12.343,31.122,OK
16.5,6.344,0.413,-3.811,-0.455,8.976,12.341,31.265,OK
16.6,6.512,0.405,-4.269,-0.552,8.885,12.363,31.339,OK
16.7,6.697,0.513,-3.945,-0.478,9.302,12.374,31.221,OK
16.8,6.848,0.587,-4.699,-0.733,9.329,12.324,31.472,OK
16.9,7.007,0.546,-4.573,-0.286,8.981,12.329,31.107,OK
17.0,6.778,0.463,-4.645,-0.537,9.03,12.369,30.98,OK
17.1,6.579,0.587,-5.04,-0.542,9.09,12.328,31.082,OK
17.2,6.784,0.61,-5.37,-0.53,9.352,12.358,31.303,OK
17.3,7.208,0.641,-5.533,-0.703,8.888,12.345,31.054,OK
17.4,7.171,0.633,-6.252,-0.902,9.202,12.331,31.165,OK
17.5,6.841,0.604,-6.619,-1.118,9.432,12.318,31.041,OK
17.6,6.837,0.497,-5.846,-0.763,9.5,12.343,31.069,OK
17.7,7.442,0.708,-5.405,-0.71,9.522,12.361,31.189,OK
17.8,7.757,0.7,-5.222,-0.79,9.108,12.332,30.82,OK
17.9,7.229,0.703,-6.402,-0.688,9.072,12.324,31.204,OK
18.0,7.493,0.663,-4.861,-0.389,9.177,12.35,30.937,OK
18.1,7.501,0.647,-5.418,-0.82,9.451,12.336,31.13,OK
18.2,7.518,0.731,-6.779,-0.641,9.438,12.306,31.046,OK
18.3,7.681,0.627,-6.905,-0.865,9.085,12.351,30.793,OK
18.4,7.536,0.751,-6.085,-0.622,9.68,12.319,30.781,OK
18.5,7.979,0.726,-6.826,-1.009,9.626,12.331,30.708,OK
18.6,8.029,0.549,-7.034,-1.013,9.251,12.309,30.798,OK
18.7,8.081,0.689,-6.351,-0.598,9.303,12.321,30.945,OK
18.8,8.394,0.739,-5.917,-0.557,9.585,12.291,30.972,OK
18.9,8.087,0.671,-7.342,-0.945,9.452,12.329,30.59,OK
19.0,8.155,0.621,-7.724,-0.868,9.296,12.305,30.675,OK
19.1,8.237,0.664,-7.904,-1.075,9.316,12.32,30.608,OK
19.2,8.355,0.596,-5.309,-0.778,9.184,12.315,30.605,OK
19.3,8.506,0.803,-7.565,-0.882,9.226,12.31,30.931,OK
19.4,8.588,0.583,-6.282,-0.58,9.412,12.299,30.702,OK
19.5,8.231,0.688,-7.654,-1.254,9.483,12.31,30.831,OK
19.6,8.461,0.661,-6.715,-0.748,9.337,12.354,30.621,OK
19.7,8.602,0.779,-8.12,-1.131,8.973,12.313,30.719,OK
19.8,8.808,0.525,-6.909,-0.649,9.218,12.303,30.705,OK
19.9,8.778,0.678,-8.426,-1.037,8.971,12.311,30.663,OK
20.0,8.724,0.642,-8.804,-0.928,9.094,12.302,30.732,OK
20.1,8.621,0.705,-7.673,-0.917,9.271,12.28,30.636,OK
20.2,8.886,0.683,-7.953,-1.009,9.203,12.296,30.354,OK
20.3,8.881,0.692,-7.904,-1.079,9.241,12.268,30.196,OK
20.4,8.987,0.594,-7.718,-1.06,9.034,12.273,30.533,OK
20.5,8.642,0.556,-7.719,-1.19,8.924,12.304,30.72,OK
20.6,8.726,0.584,-8.793,-1.257,9.311,12.301,30.355,OK
20.7,9.212,0.595,-7.823,-0.602,9.074,12.245,30.422,OK
20.8,9.026,0.514,-7.958,-1.053,8.695,12.308,30.547,OK
20.9,9.095,0.571,-7.509,-0.711,8.659,12.298,30.36,OK
21.0,9.603,0.487,-9.582,-1.145,8.469,12.282,30.438,OK
21.1,9.263,0.369,-8.779,-1.18,8.73,12.303,30.549,OK
21.2,9.293,0.574,-8.958,-0.972,8.697,12.286,30.538,OK
21.3,9.288,0.52,-8.005,-0.599,8.623,12.3,30.539,OK
21.4,9.209,0.549,-8.735,-1.383,8.804,12.295,30.452,OK
21.5,9.481,0.55,-7.485,-0.997,8.728,12.259,30.365,OK
21.6,9.325,0.23,-8.793,-0.872,8.308,12.268,30.281,OK
21.7,9.843,0.388,-7.608,-0.929,8.239,12.26,30.589,OK
21.8,9.651,0.431,-10.144,-1.051,8.319,12.306,30.397,OK
21.9,9.708,0.404,-8.518,-0.891,8.231,12.291,30.605,OK
22.0,9.859,0.274,-8.023,-0.918,7.895,12.262,30.641,OK
22.1,9.45,0.414,-8.282,-0.945,8.013,12.276,30.586,OK
22.2,10.082,0.401,-6.928,-0.8,7.937,12.287,30.339,OK
22.3,9.716,0.331,-7.454,-0.656,8.12,12.24,30.513,OK
22.4,9.895,0.224,-6.731,-0.845,7.771,12.271,30.405,OK
22.5,10.301,0.253,-8.654,-0.877,8.468,12.232,30.736,OK
22.6,10.019,0.224,-7.379,-0.812,7.792,12.282,30.424,OK
22.7,10.408,0.311,-8.393,-1.008,8.15,12.252,30.63,OK
22.8,9.835,0.261,-7.929,-0.953,7.908,12.255,30.555,OK
22.9,9.616,0.024,-8.266,-1.25,7.589,12.261,30.724,OK
23.0,9.758,0.043,-8.068,-1.176,7.42,12.266,30.539,OK
23.1,9.981,0.053,-5.602,-0.942,7.639,12.248,30.669,OK
23.2,10.064,0.093,-7.975,-0.893,7.611,12.272,30.73,OK
23.3,10.36,0.042,-8.532,-0.945,7.449,12.237,31.0,OK
23.4,9.879,0.117,-7.126,-0.743,7.534,12.256,30.746,OK
23.5,10.23,0.016,-5.581,-0.598,7.48,12.236,30.881,OK
23.6,10.024,-0.102,-7.713,-0.942,7.246,12.249,31.153,OK
23.7,9.898,0.024,-6.903,-0.858,7.245,12.213,31.04,OK
23.8,9.834,-0.127,-8.028,-1.03,6.75,12.256,31.04,OK
23.9,9.567,-0.129,-6.08,-0.819,7.002,12.236,31.103,OK
24.0,9.554,-0.101,-6.897,-0.385,6.948,12.233,31.319,OK
24.1,9.929,-0.099,-7.013,-0.608,6.798,12.244,31.39,OK
24.2,9.879,-0.141,-5.883,-0.604,6.639,12.24,31.128,OK
24.3,9.753,-0.214,-5.331,-0.4,7.312,12.235,31.195,OK
24.4,9.68,-0.055,-7.145,-0.905,6.612,12.26,31.221,OK
24.5,10.178,-0.1,-6.067,-0.658,6.352,12.231,31.394,OK
24.6,9.237,-0.193,-5.582,-0.924,6.313,12.22,31.4,OK
24.7,9.781,-0.324,-6.412,-0.724,6.437,12.228,31.499,OK
24.8,9.946,-0.28,-4.978,-0.582,6.648,12.247,31.368,OK
24.9,10.035,-0.145,-6.133,-0.741,6.337,12.233,31.72,OK
25.0,9.607,-0.202,-5.92,-0.731,6.552,12.254,31.62,OK
25.1,9.938,-0.309,-6.294,-0.899,6.046,12.216,31.689,OK
25.2,9.716,-0.244,-4.754,-0.173,6.18,12.234,31.869,OK
25.3,10.05,-0.395,-4.319,-0.274,6.027,12.219,31.937,OK
25.4,9.528,-0.453,-3.487,-0.453,6.462,12.211,31.886,OK
25.5,9.796,-0.418,-5.255,-0.739,6.115,12.208,31.984,OK
25.6,8.992,-0.464,-4.606,-0.63,5.808,12.203,32.036,OK
25.7,9.885,-0.548,-4.524,-0.396,6.021,12.213,32.011,OK
25.8,9.472,-0.461,-5.711,-0.793,5.514,12.232,32.255,WARN
25.9,9.226,-0.404,-2.314,-0.371,6.114,12.217,32.149,OK
26.0,9.099,-0.529,-4.15,-0.845,5.913,12.205,32.305,WARN
26.1,9.221,-0.259,-4.877,-0.725,5.902,12.244,32.138,OK
26.2,9.733,-0.587,-2.653,-0.307,6.162,12.234,32.24,WARN
26.3,9.957,-0.617,-3.618,-0.163,5.526,12.196,32.405,WARN
26.4,9.283,-0.51,-3.759,-0.422,5.76,12.227,32.483,WARN
26.5,8.802,-0.551,-3.508,-0.223,5.258,12.211,32.32,WARN
26.6,9.377,-0.504,-2.755,-0.255,5.488,12.211,32.518,WARN
26.7,9.185,-0.572,-4.479,-0.615,5.823,12.221,32.585,WARN
26.8,8.912,-0.615,-2.133,-0.169,5.289,12.208,32.797,WARN
26.9,8.646,-0.613,-2.081,-0.141,5.369,12.189,32.584,WARN
27.0,8.921,-0.573,-2.249,-0.475,5.205,12.205,32.51,WARN
27.1,8.82,-0.645,-2.486,-0.294,5.73,12.198,32.687,WARN
27.2,8.333,-0.583,-1.096,-0.04,5.601,12.199,32.572,WARN
27.3,8.627,-0.59,-1.214,-0.22,5.331,12.196,32.993,WARN
27.4,8.826,-0.587,-1.267,-0.306,5.101,12.188,32.991,WARN
27.5,8.609,-0.6,-2.421,-0.51,5.524,12.187,32.669,WARN
27.6,8.666,-0.629,0.872,0.292,5.351,12.184,32.93,WARN
27.7,8.355,-0.77,-0.369,-0.003,4.713,12.175,32.798,WARN
27.8,8.56,-0.662,0.199,-0.215,5.034,12.199,32.849,WARN
27.9,7.984,-0.704,-1.197,-0.063,5.46,12.158,32.927,WARN
28.0,8.186,-0.657,0.096,0.029,5.109,12.163,32.719,WARN
28.1,8.023,-0.664,0.335,-0.016,5.68,12.177,32.939,WARN
28.2,8.145,-0.744,0.014,-0.308,5.343,12.178,33.061,WARN
28.3,8.022,-0.769,-0.583,0.165,5.302,12.167,33.108,WARN
28.4,8.018,-0.51,1.001,0.182,5.109,12.201,33.043,WARN
28.5,7.632,-0.762,-0.203,-0.079,5.35,12.186,33.243,WARN
28.6,7.822,-0.596,2.16,0.396,5.517,12.148,32.968,WARN
28.7,7.529,-0.874,0.807,0.306,5.091,12.172,32.959,WARN
28.8,7.528,-0.634,0.095,0.188,4.818,12.173,33.019,WARN
28.9,7.958,-0.591,-0.35,-0.405,5.006,12.159,33.068,WARN
29.0,7.528,-0.593,0.328,-0.231,5.263,12.16,33.082,WARN
29.1,7.296,-0.655,2.5,0.057,4.976,12.173,33.333,WARN
29.2,7.341,-0.736,0.233,0.067,4.98,12.195,33.447,WARN
29.3,7.386,-0.589,1.725,0.378,5.241,12.161,33.296,WARN
29.4,7.424,-0.45,0.835,0.017,5.073,12.172,33.013,WARN
29.5,7.356,-0.705,2.086,0.595,5.595,12.129,33.134,WARN
29.6,7.351,-0.642,1.551,0.285,5.303,12.164,33.047,WARN
29.7,7.668,-0.666,2.145,0.335,5.446,12.134,33.255,WARN
29.8,6.662,-0.582,2.446,0.187,5.544,12.118,32.939,WARN
29.9,6.743,-0.501,3.913,0.586,5.615,12.118,33.059,WARN
